tournament_id,tournament_name,year,tournament_gender,original_team_id,original_team_name,original_team_code,team_id,team_name,team_code,confederation_code,matches_played,wins,goals_scored,goals_conceded,goals_scored_per_match,goals_conceded_per_match,result_position,performance,finish_position_estimate,title,final_appearance,semi_final_appearance
WC-2018,2018 FIFA Men's World Cup,2018,men,T-38,Iran,IRN,T-38,Iran,IRN,AFC,3,1,2,2,0.667,0.667,,group stage,24,0,0,0
WC-2018,2018 FIFA Men's World Cup,2018,men,T-44,Japan,JPN,T-44,Japan,JPN,AFC,4,1,6,7,1.5,1.75,,round of 16,16,0,0,0
WC-2018,2018 FIFA Men's World Cup,2018,men,T-46,Mexico,MEX,T-46,Mexico,MEX,CONCACAF,4,2,3,6,0.75,1.5,,round of 16,16,0,0,0
WC-2018,2018 FIFA Men's World Cup,2018,men,T-47,Morocco,MAR,T-47,Morocco,MAR,CAF,3,0,2,4,0.667,1.333,,group stage,24,0,0,0
WC-2018,2018 FIFA Men's World Cup,2018,men,T-50,Nigeria,NGA,T-50,Nigeria,NGA,CAF,3,1,3,4,1,1.333,,group stage,24,0,0,0
WC-2018,2018 FIFA Men's World Cup,2018,men,T-54,Panama,PAN,T-54,Panama,PAN,CONCACAF,3,0,2,11,0.667,3.667,,group stage,24,0,0,0
WC-2018,2018 FIFA Men's World Cup,2018,men,T-56,Peru,PER,T-56,Peru,PER,CONMEBOL,3,1,2,2,0.667,0.667,,group stage,24,0,0,0
WC-2018,2018 FIFA Men's World Cup,2018,men,T-57,Poland,POL,T-57,Poland,POL,UEFA,3,1,2,5,0.667,1.667,,group stage,24,0,0,0
WC-2018,2018 FIFA Men's World Cup,2018,men,T-58,Portugal,PRT,T-58,Portugal,PRT,UEFA,4,1,6,6,1.5,1.5,,round of 16,16,0,0,0
WC-2018,2018 FIFA Men's World Cup,2018,men,T-62,Russia,RUS,T-62,Russia,RUS,UEFA,5,2,11,7,2.2,1.4,,quarter-finals,8,0,0,0
WC-2018,2018 FIFA Men's World Cup,2018,men,T-63,Saudi Arabia,SAU,T-63,Saudi Arabia,SAU,AFC,3,1,2,7,0.667,2.333,,group stage,24,0,0,0
WC-2018,2018 FIFA Men's World Cup,2018,men,T-65,Senegal,SEN,T-65,Senegal,SEN,CAF,3,1,4,4,1.333,1.333,,group stage,24,0,0,0
WC-2018,2018 FIFA Men's World Cup,2018,men,T-66,Serbia,SRB,T-66,Serbia,SRB,UEFA,3,1,2,4,0.667,1.333,,group stage,24,0,0,0
WC-2018,2018 FIFA Men's World Cup,2018,men,T-71,South Korea,KOR,T-71,South Korea,KOR,AFC,3,1,3,3,1,1,,group stage,24,0,0,0
WC-2018,2018 FIFA Men's World Cup,2018,men,T-73,Spain,ESP,T-73,Spain,ESP,UEFA,4,1,7,6,1.75,1.5,,round of 16,16,0,0,0
WC-2018,2018 FIFA Men's World Cup,2018,men,T-74,Sweden,SWE,T-74,Sweden,SWE,UEFA,5,3,6,4,1.2,0.8,,quarter-finals,8,0,0,0
WC-2018,2018 FIFA Men's World Cup,2018,men,T-75,Switzerland,CHE,T-75,Switzerland,CHE,UEFA,4,1,5,5,1.25,1.25,,round of 16,16,0,0,0
WC-2018,2018 FIFA Men's World Cup,2018,men,T-79,Tunisia,TUN,T-79,Tunisia,TUN,CAF,3,1,5,8,1.667,2.667,,group stage,24,0,0,0
WC-2018,2018 FIFA Men's World Cup,2018,men,T-84,Uruguay,URY,T-84,Uruguay,URY,CONMEBOL,5,4,7,3,1.4,0.6,,quarter-finals,8,0,0,0
WC-2019,2019 FIFA Women's World Cup,2019,women,T-03,Argentina,ARG,T-03,Argentina,ARG,CONMEBOL,3,0,3,4,1,1.333,,group stage,24,0,0,0
WC-2019,2019 FIFA Women's World Cup,2019,women,T-04,Australia,AUS,T-04,Australia,AUS,AFC,4,2,9,6,2.25,1.5,,round of 16,16,0,0,0
WC-2019,2019 FIFA Women's World Cup,2019,women,T-09,Brazil,BRA,T-09,Brazil,BRA,CONMEBOL,4,2,7,5,1.75,1.25,,round of 16,16,0,0,0
WC-2019,2019 FIFA Women's World Cup,2019,women,T-11,Cameroon,CMR,T-11,Cameroon,CMR,CAF,4,1,3,8,0.75,2,,round of 16,16,0,0,0
WC-2019,2019 FIFA Women's World Cup,2019,women,T-12,Canada,CAN,T-12,Canada,CAN,CONCACAF,4,2,4,3,1,0.75,,round of 16,16,0,0,0
WC-2019,2019 FIFA Women's World Cup,2019,women,T-13,Chile,CHL,T-13,Chile,CHL,CONMEBOL,3,1,2,5,0.667,1.667,,group stage,24,0,0,0
WC-2019,2019 FIFA Women's World Cup,2019,women,T-14,China,CHN,T-14,China,CHN,AFC,4,1,1,3,0.25,0.75,,round of 16,16,0,0,0
WC-2019,2019 FIFA Women's World Cup,2019,women,T-28,England,ENG,T-28,England,ENG,UEFA,7,5,13,5,1.857,0.714,4,third-place match,4,0,0,1
WC-2019,2019 FIFA Women's World Cup,2019,women,T-30,France,FRA,T-30,France,FRA,UEFA,5,4,10,4,2,0.8,,quarter-final,24,0,0,0
WC-2019,2019 FIFA Women's World Cup,2019,women,T-31,Germany,DEU,T-31,Germany,DEU,UEFA,5,4,10,2,2,0.4,,quarter-final,24,0,0,0
WC-2019,2019 FIFA Women's World Cup,2019,women,T-41,Italy,ITA,T-41,Italy,ITA,UEFA,5,3,9,4,1.8,0.8,,quarter-final,24,0,0,0
WC-2019,2019 FIFA Women's World Cup,2019,women,T-43,Jamaica,JAM,T-43,Jamaica,JAM,CONCACAF,3,0,1,12,0.333,4,,group stage,24,0,0,0
WC-2019,2019 FIFA Women's World Cup,2019,women,T-44,Japan,JPN,T-44,Japan,JPN,AFC,4,1,3,5,0.75,1.25,,round of 16,16,0,0,0
WC-2019,2019 FIFA Women's World Cup,2019,women,T-48,Netherlands,NLD,T-48,Netherlands,NLD,UEFA,7,6,11,5,1.571,0.714,2,final,2,0,1,1
WC-2019,2019 FIFA Women's World Cup,2019,women,T-49,New Zealand,NZL,T-49,New Zealand,NZL,OFC,3,0,1,5,0.333,1.667,,group stage,24,0,0,0
WC-2019,2019 FIFA Women's World Cup,2019,women,T-50,Nigeria,NGA,T-50,Nigeria,NGA,CAF,4,1,2,7,0.5,1.75,,round of 16,16,0,0,0
WC-2019,2019 FIFA Women's World Cup,2019,women,T-53,Norway,NOR,T-53,Norway,NOR,UEFA,5,2,7,7,1.4,1.4,,quarter-final,24,0,0,0
WC-2019,2019 FIFA Women's World Cup,2019,women,T-64,Scotland,SCO,T-64,Scotland,SCO,UEFA,3,0,5,7,1.667,2.333,,group stage,24,0,0,0
WC-2019,2019 FIFA Women's World Cup,2019,women,T-70,South Africa,ZAF,T-70,South Africa,ZAF,CAF,3,0,1,8,0.333,2.667,,group stage,24,0,0,0
WC-2019,2019 FIFA Women's World Cup,2019,women,T-71,South Korea,KOR,T-71,South Korea,KOR,AFC,3,0,1,8,0.333,2.667,,group stage,24,0,0,0
WC-2019,2019 FIFA Women's World Cup,2019,women,T-73,Spain,ESP,T-73,Spain,ESP,UEFA,4,1,4,4,1,1,,round of 16,16,0,0,0
WC-2019,2019 FIFA Women's World Cup,2019,women,T-74,Sweden,SWE,T-74,Sweden,SWE,UEFA,7,5,12,6,1.714,0.857,3,third-place match,3,0,0,1
WC-2019,2019 FIFA Women's World Cup,2019,women,T-76,Thailand,THA,T-76,Thailand,THA,AFC,3,0,1,20,0.333,6.667,,group stage,24,0,0,0
WC-2019,2019 FIFA Women's World Cup,2019,women,T-83,United States,USA,T-83,United States,USA,CONCACAF,7,7,26,3,3.714,0.429,1,final,1,1,1,1
WC-2022,2022 FIFA Men's World Cup,2022,men,T-03,Argentina,ARG,T-03,Argentina,ARG,CONMEBOL,7,4,15,8,2.143,1.143,1,final,1,1,1,1
WC-2022,2022 FIFA Men's World Cup,2022,men,T-04,Australia,AUS,T-04,Australia,AUS,AFC,4,2,4,6,1,1.5,,round of 16,16,0,0,0
WC-2022,2022 FIFA Men's World Cup,2022,men,T-06,Belgium,BEL,T-06,Belgium,BEL,UEFA,3,1,1,2,0.333,0.667,,group stage,24,0,0,0
WC-2022,2022 FIFA Men's World Cup,2022,men,T-09,Brazil,BRA,T-09,Brazil,BRA,CONMEBOL,5,3,8,3,1.6,0.6,,quarter-finals,8,0,0,0
WC-2022,2022 FIFA Men's World Cup,2022,men,T-11,Cameroon,CMR,T-11,Cameroon,CMR,CAF,3,1,4,4,1.333,1.333,,group stage,24,0,0,0
WC-2022,2022 FIFA Men's World Cup,2022,men,T-12,Canada,CAN,T-12,Canada,CAN,CONCACAF,3,0,2,7,0.667,2.333,,group stage,24,0,0,0
WC-2022,2022 FIFA Men's World Cup,2022,men,T-17,Costa Rica,CRI,T-17,Costa Rica,CRI,CONCACAF,3,1,3,11,1,3.667,,group stage,24,0,0,0
WC-2022,2022 FIFA Men's World Cup,2022,men,T-18,Croatia,HRV,T-18,Croatia,HRV,UEFA,7,2,8,7,1.143,1,3,third-place match,3,0,0,1
WC-2022,2022 FIFA Men's World Cup,2022,men,T-22,Denmark,DNK,T-22,Denmark,DNK,UEFA,3,0,1,3,0.333,1,,group stage,24,0,0,0
WC-2022,2022 FIFA Men's World Cup,2022,men,T-25,Ecuador,ECU,T-25,Ecuador,ECU,CONMEBOL,3,1,4,3,1.333,1,,group stage,24,0,0,0
WC-2022,2022 FIFA Men's World Cup,2022,men,T-28,England,ENG,T-28,England,ENG,UEFA,5,3,13,4,2.6,0.8,,quarter-finals,8,0,0,0
WC-2022,2022 FIFA Men's World Cup,2022,men,T-30,France,FRA,T-30,France,FRA,UEFA,7,5,16,8,2.286,1.143,2,final,2,0,1,1
WC-2022,2022 FIFA Men's World Cup,2022,men,T-31,Germany,DEU,T-31,Germany,DEU,UEFA,3,1,6,5,2,1.667,,group stage,24,0,0,0
WC-2022,2022 FIFA Men's World Cup,2022,men,T-32,Ghana,GHA,T-32,Ghana,GHA,CAF,3,1,5,7,1.667,2.333,,group stage,24,0,0,0
