team_id,team_name,team_code,confederation_code,tournament_gender,world_cup_appearances,titles,finals_appearances,semi_final_appearances,best_finish_position,best_finish_label,average_finish_position_estimate,total_matches_played,total_wins,goals_scored,goals_conceded,win_rate,goals_scored_per_tournament,goals_conceded_per_tournament,goals_scored_per_match,goals_conceded_per_match,appearances_score,titles_score,finals_score,semi_finals_score,win_rate_score,historical_strength_score
T-05,Austria,AUT,UEFA,men,7,0,0,2,3,position 3,14.71,29,12,43,47,41.38,6.14,6.71,1.483,1.621,31.82,0,0,18.18,41.38,16.41
T-10,Bulgaria,BGR,UEFA,men,7,0,0,1,4,position 4,20,26,3,22,53,11.54,3.14,7.57,0.846,2.038,31.82,0,0,9.09,11.54,12.06
T-44,Japan,JPN,AFC,men,7,0,0,0,16,round of 16,19.43,25,7,25,33,28,3.57,4.71,1,1.32,31.82,0,0,0,28,12.35
T-61,Romania,ROU,UEFA,men,7,0,0,0,8,quarter-finals,17.14,21,8,30,32,38.1,4.29,4.57,1.429,1.524,31.82,0,0,0,38.1,13.36
T-72,Soviet Union,SUN,UEFA,men,7,0,0,1,4,position 4,11.43,31,15,53,34,48.39,7.57,4.86,1.71,1.097,31.82,0,0,9.09,48.39,15.75
T-04,Australia,AUS,AFC,men,6,0,0,0,16,round of 16,21.33,20,4,17,37,20,2.83,6.17,0.85,1.85,27.27,0,0,0,20,10.18
T-16,Colombia,COL,CONMEBOL,men,6,0,0,0,8,quarter-finals,18.67,22,9,32,30,40.91,5.33,5,1.455,1.364,27.27,0,0,0,40.91,12.27
T-17,Costa Rica,CRI,CONCACAF,men,6,0,0,0,8,quarter-finals,20,21,6,22,39,28.57,3.67,6.5,1.048,1.857,27.27,0,0,0,28.57,11.04
T-18,Croatia,HRV,UEFA,men,6,0,1,3,2,position 2,13.33,30,13,43,33,43.33,7.17,5.5,1.433,1.1,27.27,0,14.29,27.27,43.33,19.46
T-22,Denmark,DNK,UEFA,men,6,0,0,0,8,quarter-finals,17.33,23,9,31,29,39.13,5.17,4.83,1.348,1.261,27.27,0,0,0,39.13,12.09
T-38,Iran,IRN,AFC,men,6,0,0,0,24,group stage,24,18,3,13,31,16.67,2.17,5.17,0.722,1.722,27.27,0,0,0,16.67,9.85
T-47,Morocco,MAR,CAF,men,6,0,0,1,4,position 4,19.33,23,5,20,27,21.74,3.33,4.5,0.87,1.174,27.27,0,0,9.09,21.74,11.72
T-50,Nigeria,NGA,CAF,men,6,0,0,0,16,round of 16,20,21,6,23,30,28.57,3.83,5,1.095,1.429,27.27,0,0,0,28.57,11.04
T-63,Saudi Arabia,SAU,AFC,men,6,0,0,0,16,round of 16,22.67,19,4,14,44,21.05,2.33,7.33,0.737,2.316,27.27,0,0,0,21.05,10.29
T-79,Tunisia,TUN,CAF,men,6,0,0,0,24,group stage,24,18,3,14,26,16.67,2.33,4.33,0.778,1.444,27.27,0,0,0,16.67,9.85
T-56,Peru,PER,CONMEBOL,men,5,0,0,0,8,quarter-finals,18.4,18,5,21,33,27.78,4.2,6.6,1.167,1.833,22.73,0,0,0,27.78,9.6
T-01,Algeria,DZA,CAF,men,4,0,0,0,16,round of 16,22,13,3,13,19,23.08,3.25,4.75,1,1.462,18.18,0,0,0,23.08,7.76
T-25,Ecuador,ECU,CONMEBOL,men,4,0,0,0,16,round of 16,22,13,5,14,14,38.46,3.5,3.5,1.077,1.077,18.18,0,0,0,38.46,9.3
T-32,Ghana,GHA,CAF,men,4,0,0,0,8,quarter-finals,18,15,5,18,23,33.33,4.5,5.75,1.2,1.533,18.18,0,0,0,33.33,8.79
T-62,Russia,RUS,UEFA,men,4,0,0,0,8,quarter-finals,20,14,4,24,20,28.57,6,5,1.714,1.429,18.18,0,0,0,28.57,8.31
T-07,Bolivia,BOL,CONMEBOL,men,3,0,0,0,24,group stage,24,6,0,1,20,0,0.33,6.67,0.167,3.333,13.64,0,0,0,0,4.09
T-26,Egypt,EGY,CAF,men,3,0,0,0,16,round of 16,21.33,7,0,5,12,0,1.67,4,0.714,1.714,13.64,0,0,0,0,4.09
T-33,Greece,GRC,UEFA,men,3,0,0,0,16,round of 16,21.33,10,2,5,20,20,1.67,6.67,0.5,2,13.64,0,0,0,20,6.09
T-35,Honduras,HND,CONCACAF,men,3,0,0,0,24,group stage,24,9,0,3,14,0,1,4.67,0.333,1.556,13.64,0,0,0,0,4.09
T-42,Ivory Coast,CIV,CAF,men,3,0,0,0,24,group stage,24,9,3,13,14,33.33,4.33,4.67,1.444,1.556,13.64,0,0,0,33.33,7.42
